,rank,id,title,rating,year,service,disneyplus_url
0,14,tt0080684,Star Wars: Episode V - The Empire Strikes Back,8.7,1980,disney,
1,25,tt0076759,Star Wars: Episode IV - A New Hope,8.6,1977,disney,
2,34,tt0110357,The Lion King,8.5,1994,disney,https://www.disneyplus.com/video/87982e2b-5636-41a2-9d9a-5bc77cacb7d7
3,63,tt0910970,WALLÂ·E,8.4,2008,disney,https://www.disneyplus.com/video/825ef1dd-24fe-4f32-90a0-adc5e94a8023
4,70,tt4154796,Avengers: Endgame,8.3,2019,disney,https://www.disneyplus.com/video/aa2c93d5-6e09-4e2b-84ae-9f0773cc0238
5,75,tt2380307,Coco,8.3,2017,disney,https://www.disneyplus.com/video/4ccb6027-d7ca-4b81-8c70-43ac08f92bbd
6,81,tt0114709,Toy Story,8.3,1995,disney,https://www.disneyplus.com/video/eccdbdc5-7767-448e-be14-74647b128ca9
7,85,tt0086190,Star Wars: Episode VI - Return of the Jedi,8.3,1983,disney,
8,102,tt0012349,The Kid,8.2,1921,disney,
9,111,tt0435761,Toy Story 3,8.2,2010,disney,https://www.disneyplus.com/video/ea032f8d-f213-4555-b598-a8b38249804a
10,121,tt1049413,Up,8.2,2009,disney,https://www.disneyplus.com/video/6a45dca1-b196-4891-bd98-f8dd5098518f
11,158,tt2096673,Inside Out,8.1,2015,disney,https://www.disneyplus.com/video/0d7dbe67-9eb6-4320-909a-ef2d55211123
12,170,tt0266543,Finding Nemo,8.1,2003,disney,https://www.disneyplus.com/video/7d1b7852-f2ce-4ccb-a73f-5d7eba132bb2
13,230,tt0198781,"Monsters, Inc.",8.0,2001,disney,https://www.disneyplus.com/video/c27abdc6-ea57-450a-af80-60d33584f438
14,239,tt0093779,The Princess Bride,8.0,1987,disney,https://www.disneyplus.com/video/f464a427-f39b-4c20-bd29-be0cc2f17e88
15,246,tt0103639,Aladdin,8.0,1992,disney,https://www.disneyplus.com/video/c9fd8fa3-fa17-4456-9b37-a5427e308f0e
